filename,linear/nsga2_random20p_toZero/FPA_L1_MSE,linear/nsga2_random20p_toZero/FPA_NNZ_MSE,linear/nsga2_random20p_toZero/FPA_MSE,linear/nsga2_random30p_toZero/FPA_L1_MSE,linear/nsga2_random30p_toZero/FPA_NNZ_MSE,linear/nsga2_random30p_toZero/FPA_MSE
ant-1.3_ant-1.4,8,5,13,5,5,8
ant-1.4_ant-1.5,10,5,12,6,7,11
ant-1.5_ant-1.6,11,8,13,10,4,6
ant-1.6_ant-1.7,10,2,9,2,6,7
camel-1.0_camel-1.2,14,7,9,8,9,6
camel-1.2_camel-1.4,12,8,12,9,6,10
camel-1.4_camel-1.6,14,6,13,9,5,9
ivy-1.1_ivy-1.4,11,7,15,6,6,13
ivy-1.4_ivy-2.0,11,9,15,8,4,7
jedit-3.2_jedit-4.0,13,9,12,5,7,8
jedit-4.0_jedit-4.1,12,7,10,9,5,8
jedit-4.1_jedit-4.2,7,5,11,4,4,9
jedit-4.2_jedit-4.3,12,9,10,4,6,6
log4j-1.0_log4j-1.1,12,8,15,9,8,8
log4j-1.1_log4j-1.2,14,8,13,7,4,11
lucene-2.0_lucene-2.2,12,7,15,5,3,7
lucene-2.2_lucene-2.4,15,10,17,10,8,8
poi-1.5_poi-2.0,10,6,10,9,5,5
poi-2.0_poi-2.5,10,10,15,6,6,8
poi-2.5_poi-3.0,14,6,13,7,5,7
synapse-1.0_synapse-1.1,10,6,15,5,6,7
synapse-1.1_synapse-1.2,11,7,10,8,6,10
velocity-1.4_velocity-1.5,12,6,11,7,9,7
velocity-1.5_velocity-1.6,13,6,12,8,5,4
xalan-2.4_xalan-2.5,14,8,12,10,6,6
xalan-2.5_xalan-2.6,11,9,11,5,3,7
xalan-2.6_xalan-2.7,14,10,13,8,9,8
xerces-init_xerces-1.2,10,6,14,7,12,12
xerces-1.2_xerces-1.3,10,7,11,9,5,5
xerces-1.3_xerces-1.4,10,3,14,4,10,10
