filename,FPA,mlp5/nsga2_random20p_toZero/FPA_L1_MSE,mlp3/nsga2_random30p_toZero/FPA_L1_MSE,mlp5/nsga2_random20p_toZero/FPA_L1_MSE,mlp3/nsga2_random30p_toZero/FPA_L1_MSE,mlp5/nsga2_random20p_toZero/FPA_L1_MSE,mlp3/nsga2_random30p_toZero/FPA_L1_MSE,mlp5/nsga2_random20p_toZero/FPA_L1_MSE,mlp3/nsga2_random30p_toZero/FPA_L1_MSE,mlp5/nsga2_random20p_toZero/FPA_L1_MSE,mlp3/nsga2_random30p_toZero/FPA_L1_MSE
ant-1.3_ant-1.4,0.58444896,0.597418121,0.649175233,0.570284485,0.641047095,0.560961033,0.596461869,0.597418121,0.649175233,0.570284485,0.596461869
ant-1.4_ant-1.5,0.69600195,0.764017552,0.726133593,0.764017552,0.738956607,0.713115553,0.726133593,0.764017552,0.726133593,0.766845441,0.765967821
ant-1.5_ant-1.6,0.749504521,0.763161154,0.817772204,0.763161154,0.815356745,0.817493497,0.807289731,0.763161154,0.78291837,0.820450886,0.824368265
ant-1.6_ant-1.7,0.813621381,0.820003177,0.829053652,0.827993328,0.829053652,0.828767722,0.825928279,0.820003177,0.829192645,0.824165045,0.826194353
camel-1.0_camel-1.2,0.65014998,0.620094147,0.607282844,0.609519938,0.607282844,0.674349982,0.630205182,0.646756529,0.607282844,0.666203494,0.630205182
camel-1.2_camel-1.4,0.7873528,0.775458716,0.743530056,0.758167876,0.743530056,0.763792277,0.763285636,0.775458716,0.747127893,0.731617144,0.754607695
camel-1.4_camel-1.6,0.7618,0.758172021,0.744643523,0.763761658,0.752324352,0.738691192,0.738781347,0.758172021,0.744643523,0.738691192,0.742737824
ivy-1.1_ivy-1.4,0.781696634,0.745965883,0.766712771,0.746657446,0.769479023,0.770401107,0.767404334,0.745965883,0.782388197,0.770401107,0.769017981
ivy-1.4_ivy-2.0,0.724888393,0.79537845,0.800121753,0.79537845,0.800121753,0.79537845,0.786424513,0.79537845,0.766081575,0.80757914,0.823407062
jedit-3.2_jedit-4.0,0.859867546,0.822596738,0.837873793,0.822596738,0.846998091,0.838943837,0.838799237,0.822596738,0.845523165,0.836803748,0.839796981
jedit-4.0_jedit-4.1,0.843834929,0.807840009,0.7868959,0.799731183,0.841117216,0.82721848,0.821605814,0.807840009,0.7868959,0.817499705,0.821502422
jedit-4.1_jedit-4.2,0.855071719,0.874659401,0.872937124,0.874145288,0.873142769,0.862680582,0.8700838,0.874659401,0.874453756,0.862680582,0.8700838
jedit-4.2_jedit-4.3,0.705877371,0.66700542,0.639397019,0.679369919,0.639397019,0.671917344,0.686144986,0.68546748,0.639397019,0.642784553,0.632621951
log4j-1.0_log4j-1.1,0.779549819,0.796778323,0.806272669,0.788137401,0.806272669,0.79037764,0.800725411,0.788137401,0.806272669,0.79037764,0.778216343
log4j-1.1_log4j-1.2,0.55510334,0.55203252,0.560368302,0.55203252,0.560338917,0.562239201,0.557870506,0.55203252,0.564570477,0.549309433,0.561000098
lucene-2.0_lucene-2.2,0.715543038,0.699837666,0.687667469,0.699837666,0.687603904,0.717626005,0.687667469,0.699837666,0.687667469,0.717831368,0.687603904
lucene-2.2_lucene-2.4,0.654565339,0.653220402,0.690855361,0.653597357,0.698380491,0.701098287,0.694126955,0.653220402,0.690855361,0.657259866,0.693531273
poi-1.5_poi-2.0,0.68659154,0.699902009,0.651151396,0.681528662,0.651151396,0.692062714,0.660215581,0.699902009,0.651151396,0.681528662,0.692797648
poi-2.0_poi-2.5,0.507402074,0.513840595,0.455053414,0.513306452,0.442032363,0.480634688,0.512887516,0.513306452,0.477301529,0.452021366,0.617309908
poi-2.5_poi-3.0,0.67280543,0.681633484,0.68069457,0.681633484,0.68069457,0.680778281,0.679425339,0.681633484,0.68069457,0.692714932,0.679662896
synapse-1.0_synapse-1.1,0.698562199,0.696560197,0.578965329,0.696560197,0.712576213,0.716261716,0.716534717,0.727045227,0.712576213,0.712075712,0.698380198
synapse-1.1_synapse-1.2,0.68826778,0.64762931,0.687621228,0.6546875,0.68748653,0.64762931,0.644719828,0.64762931,0.68748653,0.646012931,0.65705819
velocity-1.4_velocity-1.5,0.672113674,0.657452636,0.635175198,0.650083293,0.635175198,0.650083293,0.64141514,0.603262558,0.642544541,0.548451309,0.64141514
velocity-1.5_velocity-1.6,0.759549529,0.717444266,0.725327511,0.723948518,0.725327511,0.71234199,0.711928292,0.723350954,0.725327511,0.706665134,0.711583544
xalan-2.4_xalan-2.5,0.613982875,0.643873141,0.637223172,0.643873141,0.636184224,0.636550084,0.637366233,0.643873141,0.636184224,0.618835206,0.631180624
xalan-2.5_xalan-2.6,0.676858757,0.674524746,0.655728814,0.674217401,0.655728814,0.690764294,0.697432768,0.674524746,0.655728814,0.638701921,0.637052203
xalan-2.6_xalan-2.7,0.570718572,0.57041747,0.56903213,0.57150579,0.568698378,0.569064326,0.569080651,0.571483117,0.56903213,0.569591254,0.569947226
xerces-init_xerces-1.2,0.749960474,0.709407115,0.662312253,0.641581028,0.6293083,0.699436759,0.615701581,0.709407115,0.662312253,0.531284585,0.575652174
xerces-1.2_xerces-1.3,0.720750552,0.555851033,0.53983804,0.585326379,0.557435176,0.540558625,0.411042103,0.535177115,0.557435176,0.329507372,0.285500234
xerces-1.3_xerces-1.4,0.729600361,0.719486855,0.746250725,0.719486855,0.723009693,0.745435016,0.715009782,0.704098682,0.711366533,0.740844458,0.726357774
,0.708868051,0.700055419,0.693035568,0.696870955,0.698507052,0.703221776,0.693723273,0.699493904,0.69665737,0.681300656,0.691374086
